,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_337,0.002095888,3779.849703,3559337611,12588870601,,,,,
Run_338,0.002034048,3759.392583,2689366578,9302670743,,,,,
Run_339,0.00209057,3778.272373,3559336800,12588867699,,,,,
Run_340,0.002091385,3778.516573,3559336953,12588868267,,,,,
Run_341,0.002094898,3779.304895,3535047999,12595521361,,,,,
Run_342,0.002062516,3776.28246,3465848258,12674059359,,,,,
Run_343,0.001350032,3477.922688,826879586.1,3916905889,,,,,
Run_344,0.002095888,3779.849703,3559337611,12588870601,,,,,
Run_345,0.001326746,3474.786849,794131433.2,3937971643,,,,,
Run_346,0.001321402,3471.387324,594889477.1,2927298693,,,,,
Run_347,0.001321265,3471.346118,594889450,2927298563,,,,,
Run_348,0.001319338,3470.774661,597570261,2926617428,,,,,
Run_349,0.001321658,3471.303391,620500924.3,2925150873,,,,,
Run_350,0.002012246,3752.929586,2579700482,9318432585,,,,,
Run_351,0.001319242,3470.71826,594888512.9,2927293940,,,,,
Run_352,0.001319242,3470.71826,594888512.9,2927293940,,,,,
Run_353,825437.2833,5850.83567,8731.276743,1395763.562,,,,,
Run_354,825385.6577,5812.272415,6964.083027,1131998.332,,,,,
Run_355,825437.2833,5850.835656,6021.996901,996969.1874,,,,,
Run_356,825437.2833,5850.835661,7039.322786,1151672.517,,,,,
Run_357,825437.2856,5850.833302,8731.275405,1395763.554,,,,,
Run_358,0.004698054,3949.521161,3498931236,4258743178,,,,,
Run_359,1213357.279,7152.189084,15490.3074,2443298.828,,,,,
Run_360,825437.2833,5850.83567,8731.276743,1395763.562,,,,,
Run_361,0.006749259,4223.067574,4406305623,5167439081,,,,,
Run_362,0.006427106,4221.063852,4877465536,5452733318,,,,,
Run_363,0.006405882,4207.868128,4452408352,5002310638,,,,,
Run_364,0.006374372,4183.701282,2934659309,3454529344,,,,,
Run_365,1213313.966,7126.412695,6127.991103,971479.5714,,,,,
Run_366,0.004399654,3887.92869,1393159022,1778854192,,,,,
Run_367,0.006374391,4183.720478,2936774870,3454295008,,,,,
Run_368,0.006374391,4183.720478,2936774870,3454295008,,,,,
Run_369,0.001274951,3458.642072,5960482.585,66623428.03,,,,,
Run_370,0.001268126,3458.494017,1634467.839,25767422.26,,,,,
Run_371,0.00127495,3458.641641,5960482.292,66623425.8,,,,,
Run_372,0.00127495,3458.641704,5960482.268,66623426.12,,,,,
Run_373,0.001274951,3458.642213,5966890.037,66623184.92,,,,,
Run_374,0.001273593,3458.625018,5740705.718,66629411.02,,,,,
Run_375,0.001832569,3700.397111,24733286.06,178085423.9,,,,,
Run_376,0.001274951,3458.642072,5960482.585,66623428.03,,,,,
Run_377,0.00182777,3700.330729,23823144.93,178112308.9,,,,,
Run_378,0.001804082,3699.763492,6249424.965,65251256.14,,,,,
Run_379,0.001804082,3699.763425,6249424.914,65251255.8,,,,,
Run_380,0.00180408,3699.762619,6233241.135,65251484.71,,,,,
Run_381,0.001808889,3699.812519,6535329.621,65246437.91,,,,,
Run_382,0.001266694,3458.479381,1569204.952,25768439.54,,,,,
Run_383,0.00180408,3699.762972,6249424.564,65251253.4,,,,,
Run_384,0.00180408,3699.762972,6249424.564,65251253.4,,,,,
Run_385,1222019.117,5854.831555,2702.142631,196269.7783,,,,,
Run_386,1222339.518,6091.389219,3084.408551,395446.3572,,,,,
Run_387,1222019.117,5854.831555,2768.665055,210756.7103,,,,,
Run_388,1222019.117,5854.831555,2584.066519,170151.0959,,,,,
Run_389,1222019.154,5854.80398,2702.118778,196269.5399,,,,,
Run_390,0.002429301,3903.943729,29012451.55,160198423.8,,,,,
Run_391,466551.3384,3967.107397,682.4225769,49840.21548,,,,,
Run_392,1222019.117,5854.831555,2702.142631,196269.7783,,,,,
Run_393,0.001278523,3458.60778,3080792.552,34214260.83,,,,,
Run_394,0.001291817,3459.43279,60235906.94,369934994.8,,,,,
Run_395,0.001292894,3459.890762,62725725.99,379661493.5,,,,,
Run_396,0.001292478,3459.739755,62299373.92,379622698.7,,,,,
Run_397,466762.7049,4158.51627,953.1664545,93211.30117,,,,,
Run_398,0.002547511,3915.977058,667539709.8,2162787327,,,,,
